,context,answer,label
0,"['спасибо_PROPN ', 'большой_ADJ', 'какой_DET', 'музыка_NOUN', 'слушать_VERB', 'русский_ADJ', 'рэп_NOUN', 'в_ADP', 'основное_ADJ', 'ну_PART', 'там_ADV', 'фейс_NOUN', 'элдж_NOUN', 'знать_VERB', 'же_PART', 'или_CCONJ', 'что_PRON', 'ты_PRON', 'слушать_VERB', '**вы:_NOUN', 'эм..нет😱_NOUN']","['ой_INTJ', 'ну_PART', 'тогда_ADV', 'давать_VERB', 'я_PRON', 'ты_PRON', 'рекомендовать_VERB', 'что-нибудь_NOUN', 'послушать_VERB', 'я_PRON', 'недавно_ADV', 'открывать_VERB', 'для_ADP', 'себя_PRON', 'классический_ADJ', 'рок_NOUN', 'например_ADV', 'queen_PROPN', 'led_PROPN', 'zeppelin_PROPN', 'pink_PROPN', 'floyd_PROPN', 'это_PRON', 'просто_PART', 'космос_NOUN', 'а_CCONJ', 'еще_ADV', 'я_PRON', 'нравиться_VERB', 'электронный_ADJ', 'музыка_NOUN', 'например_ADV', 'daft_PROPN', 'punk_PROPN', 'the_PROPN', 'chemical_PROPN', 'brothers_PROPN', 'justice_PROPN', 'а_CCONJ', 'ты_PRON', 'какой_DET', 'музыка_NOUN', 'любить_VERB', 'мочь_VERB', 'я_PRON', 'тоже_PART', 'что-то_NOUN', 'новый_ADJ', 'для_ADP', 'себя_PRON', 'открыть_ADV', '😊_SYM']",ai
1,"['я_PRON', 'тоже_PART', 'не_PART', 'замужем_ADV', 'искать_VERB', 'свой_DET', 'принц_NOUN', 'а_CCONJ', 'пока_SCONJ', 'толькоу_NOUN', 'я_PRON', 'замечательный_ADJ', 'песик_NOUN', 'а_CCONJ', 'у_ADP', 'вы_PRON', 'быть_VERB', 'питомец_NOUN', 'у_ADP', 'я_PRON', 'дома_NOUN', 'жить_VERB', 'только_PART', 'рыбка_NOUN', 'в_ADP', 'аквариум_NOUN', 'единственныесущество_NOUN', 'который_PRON', 'я_PRON', 'люблю_NOUN', 'рыбка_PROPN ', 'тихий_ADJ', 'и_CCONJ', 'не_PART', 'причинить_VERB', 'дискомфорт_NOUN', 'мой_DET', 'песик_NOUN', 'погрызвсй_PRON', 'фиалка_NOUN', 'а_CCONJ', 'они_PRON', 'так_ADV', 'долго_ADV', 'выращивать_VERB']","['мочь_VERB', 'быть_AUX', 'и_PART', 'тихий_NOUN', 'но_CCONJ', 'совсем_ADV', 'не_PART', 'мирный_ADJ', 'мочь_VERB', 'и_CCONJ', 'подраться_VERB', 'и_CCONJ', 'слопать_VERB', 'друг_NOUN', 'друг_NOUN']",people
2,"['ивановский_ADJ', 'область_NOUN', 'понимать_VERB', 'а_CCONJ', 'я_PRON', 'в_ADP', 'москвбыть_VERB', '**вы:_NOUN', 'не_PART', 'любить_VERB', 'шум_NOUN', 'большой_ADJ', 'город_NOUN']","['в_ADP', 'деревня_NOUN', 'у_ADP', 'я_PRON', 'на_ADP', 'дача_NOUN']",ai
3,"['особенно_ADV', 'чинить_VERB', 'они_PRON', 'и_CCONJ', 'тоже_PART', 'любить_VERB', 'стиралка_NOUN', 'карий_PROPN ', 'слишком_ADV', 'много_ADV', 'зеленый_PROPN ', 'крутой_ADJ', 'стиралка_NOUN', 'кайф_NOUN']","['в_ADP', 'дом_NOUN', 'полный_ADJ', 'порядок_NOUN', 'все_PART', 'на_ADP', 'свой_DET', 'место_NOUN']",ai
4,"['**вы:**_NOUN', 'в_ADP', 'свободный_ADJ', 'время_NOUN', '**собеседник:_NOUN', 'что_PRON', 'ты_PRON', 'увлекаться_VERB', '**вы:_NOUN', 'ты_PRON', 'фотграф_NOUN', 'любить_VERB', 'путешествовать_VERB']","['да_PART', 'я_PRON', 'фотографировать_VERB', 'это_PRON', 'мой_DET', 'страсть_NOUN', 'и_CCONJ', 'хобби_NOUN']",ai
5,"['а_CCONJ', 'у_ADP', 'ты_PRON', 'быть_VERB', 'работа_NOUN', 'крутой_ADJ', 'интересный_ADJ', 'как_SCONJ', 'как_ADV', 'ты_PRON', 'твой_DET', 'работа_NOUN', 'любить_VERB', 'свой_DET', 'работа_NOUN', 'очень_ADV', 'нравиться_VERB', 'особенно_ADV', 'любить_VERB', 'готовить_VERB', 'мясо_NOUN', 'а_CCONJ', 'ты_PRON', 'твой_DET']","['в_ADP', 'смысл_NOUN', 'ты_PRON', 'повар_NOUN', 'что-ль_VERB', 'я_PRON', 'тоже_PART', 'если_SCONJ', 'что_SCONJ']",people
6,"['у_ADP', 'я_PRON', 'быть_VERB', 'сынотреть_DET', 'у_ADP', 'я_PRON', 'двое_NUM', 'ребенок_NOUN', 'я_PRON', 'любить_VERB', 'песня_NOUN', 'круг_NOUN']","['а_CCONJ', 'есть_VERB', 'еще_ADV', 'какой_DET', 'не_PART', 'быть_AUX', 'исполнитель_NOUN', 'шансон_NOUN', 'который_PRON', 'нравиться_VERB']",people
7,"['а_CCONJ', 'после_ADP', 'сразу_ADV', 'на_ADP', 'шоппинг_NOUN', '😅_SYM', 'не_PART', 'поверить_VERB', 'но_CCONJ', 'я_PRON', 'он_PRON', 'любить_VERB', 'в_ADP', 'такой_DET', 'то_DET', 'окружение_NOUN', 'другой_ADJ', 'выход_NOUN', 'как_SCONJ', 'полюбитьнй_ADV', 'быть_AUX', '😄_SYM', '**собеседник:_NOUN', 'вот_PART', 'это_PRON', 'да_PART', 'это_PRON', 'хороший_ADJ', 'что_SCONJ', 'учить_VERB', 'в_ADP', 'жизнь_NOUN', 'всегда_ADV', 'пригождаться_VERB', 'ну_PART', 'да_PART', 'профессия_NOUN', 'у_ADP', 'ты_PRON', 'классный_ADJ', 'жизнь_NOUN', 'спасать_VERB']","['любить_VERB', 'приносить_VERB', 'польза_NOUN']",people
8,"['как_ADV', 'бы_PART', 'ты_PRON', 'сказать_VERB', 'я_PRON', 'спортсмен_NOUN', '😂_SYM', 'поэтому_ADV', 'с_ADP', 'чтениий_NOUN', 'я_PRON', 'ну_PART', 'не_PART', 'очень_ADV', '**собеседник:_NOUN', 'милостивый_ADJ', 'когда_SCONJ', 'спорт_NOUN', 'заниматься_VERB', 'слушать_VERB', 'музыка_NOUN', 'вообще_ADV', 'я_PRON', 'намного_ADV', 'интересный_ADJ', 'с_ADP', 'человек_NOUN', 'общаться_VERB', ',кать_ADV', 'в_ADP', 'книжка_NOUN', 'пялиться_VERB', 'да_PART', 'ты_PRON', 'какой_DET', 'любить_VERB']","['панк_PROPN ', 'рок_NOUN', 'а_CCONJ', 'ты_PRON']",people
9,"['рассказывать_VERB', 'о_ADP', 'себе_NOUN', 'я_PRON', 'ольк_PROPN ', 'звать_VERB', 'а_CCONJ', 'ты_PRON', '**ва_NOUN', 'я_PRON', 'саший_NOUN']","['что_PRON', 'заниматься_VERB', 'сегодня_ADV']",people
